"points","text","img","url"
"2","PURPLE WRISTBAND","http://www.mcfina.co.uk/Icons/iAMSMSA0000G004a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/AMSMSA0000G004"
"55","DRAPER ALUMINIUM TORCH","http://www.mcfina.co.uk/Icons/iTODRAP0000G123a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/TODRAP0000G123"
"60","DRAPER TOOLS PLASTIC STORAGE BOX","http://www.mcfina.co.uk/Icons/iTODRAP0000G132a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/TODRAP0000G132"
"60","DRAPER 7.5M TAPE MEASURE","http://www.mcfina.co.uk/Icons/iTODRAP0000G152a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/TODRAP0000G152"
"80","SECATEUR DRAPER 34478","http://www.mcfina.co.uk/Icons/iSECATEUR1a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SECATEUR1"
"84","DRAPER ALUMINIUM TORCH","http://www.mcfina.co.uk/Icons/iTODRAP0000G120a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/TODRAP0000G120"
"98","CLOCK WOODEN MANTLE","http://www.mcfina.co.uk/Icons/iCLOCK203a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CLOCK203"
"100","WILSON STAFF GRIP PLUS MENS GOLF GLOVE","http://www.mcfina.co.uk/Icons/iSOAMSP0000G065a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOAMSP0000G065"
"100","WILSON STAFF GRIP PLUS MENS GOLF GLOVE","http://www.mcfina.co.uk/Icons/iSOAMSP0000G064a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOAMSP0000G064"
"100","A.T. CROSS  SMALL CLASSIC BLACK JOURNAL","http://www.mcfina.co.uk/Icons/iLEATCL0000G009a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/LEATCL0000G009"
"100","SABICHI WEIGHING SCALES","http://www.mcfina.co.uk/Icons/iBYSHLU0000G002a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/BYSHLU0000G002"
"100","SABICHI 16PCE EVERYDAY CUTLERY SET","http://www.mcfina.co.uk/Icons/iCUSHLU0000G020a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CUSHLU0000G020"
"100","GARDENERS KNEELER DRAPER TOOLS","http://www.mcfina.co.uk/Icons/iGARDENKNEELER1a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/GARDENKNEELER1"
"100","FRANKLIN COVEY LEXINGTON BALL PEN","http://www.mcfina.co.uk/Icons/iPNATCL0000G009a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/PNATCL0000G009"
"100","FRANKLIN COVEY GREENWICH BALL PEN","http://www.mcfina.co.uk/Icons/iPNATCL0000G010a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/PNATCL0000G010"
"100","PGA TOUR POP UP CHIPPING TARGET NET","http://www.mcfina.co.uk/Icons/iSOGOLF0000G036a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOGOLF0000G036"
"100","SABICHI 16PCE EVERYDAY CUTLERY SET","http://www.mcfina.co.uk/Icons/iCUSHLU0000G021a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CUSHLU0000G021"
"106","GECKO TEARDROP EARRING WITH IMITATION PEARL","http://www.mcfina.co.uk/Icons/iSTGECK0000G077a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/STGECK0000G077"
"120","SCOOP COLANDER RED","http://www.mcfina.co.uk/Icons/iCWJOSE0000G003a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CWJOSE0000G003"
"129","VIVO BY VILLEROY &amp; BOCH SIDE SALAD BOWL SET","http://www.mcfina.co.uk/Icons/iCHVBUL0000G028a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CHVBUL0000G028"
"130","LIMIT LADIES BLACK STRAP WATCH","http://www.mcfina.co.uk/Icons/iSSSTPU0000G061a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSSTPU0000G061"
